% Model,Relay.mph
% Version,COMSOL 5.5.0.359
% Date,"May 10 2020, 14:24"
% Table,Table 1 - Max Displacement
% Time (s),abs(w) (nm),Total displacement (nm)
2.82,0.4239221344077544,0.42400057876320907
2.83,0.3773058042826581,0.37737447641733346
2.84,0.333403990896777,0.3334637513623714
2.85,0.2922166942501074,0.29226839530249116
2.86,0.2537439143426528,0.2537884005328924
2.87,0.2179856511744099,0.21802376145775
2.88,0.18494190474538186,0.18497447760531757
2.89,0.1546126750555656,0.1546405596361233
2.9,0.12699796210496392,0.12702204154635344
2.91,0.10209776589357439,0.10211900628676049
2.92,0.07991208642139919,0.07993164215793395
2.93,0.06043565003723732,0.060451215330425176
2.94,0.04366755298251272,0.04367916527045308
2.95,0.029613509658110382,0.02962112912731986
2.96,0.01827349143909165,0.01827817577253657
2.97,0.009647679759132619,0.009650108026348758
2.98,0.003766439103420097,0.003766510073876577
2.99,5.821691266268599E-4,5.82299271757819E-4
3,6.158326560354196E-7,6.16055322034803E-7
